Name,Entry_point,Inflated_Capacity,Target_Capacity
Προμαχώνας (Βουλγαρία),Entry_1,1900,1500
Νυμφαία (Βουλγαρία),Entry_2,0,0
Εύζωνοι (Β. Μακεδονία),Entry_3,0,0
Θεσσαλονίκη,Entry_4,600,600
Καβάλα,Entry_5,50,50
Καλαμάτα,Entry_6,50,50
Καστανιές (Tουρκία),Entry_7,0,0
Κήποι (Tουρκία),Entry_8,0,0
Μυτιλήνη,Entry_9,50,50
Ρόδος,Entry_10,700,550
Kάρπαθος,Entry_11,50,50
Λιμάνι Ρόδου,Entry_12,82,82
Μύκονος,Entry_13,170,170
Πάρος,Entry_14,50,50
Σαντορίνη,Entry_15,150,150
Σάμος,Entry_16,50,50
Διεθνής Αερολιμένας Αθηνών,Entry_17,1700,1500
Κέρκυρα,Entry_18,300,300
Κως,Entry_19,280,280
Ζάκυνθος,Entry_20,200,200
Κεφαλονιά,Entry_21,80,80
Άκτιο,Entry_22,100,100
Άραξος,Entry_23,50,50
Σκύρος,Entry_24,50,50
Χίος,Entry_25,50,50
Λήμνος,Entry_26,50,50
Κύθηρα,Entry_27,50,50
Λιμάνι Πειραιά,Entry_28,201.195,201.195
Λιμάνι Κέρκυρας,Entry_29,55,55
Σκιάθος,Entry_30,60,60
Αγχίαλος,Entry_31,50,50
Λιμάνι Βόλου,Entry_32,50,50
Ηράκλειο,Entry_33,1000,1000
Χανιά,Entry_34,220,220
Σητεία,Entry_35,50,50
Λιμένας Πάτρας,Entry_36,50,50
Λιμάνι Κατακώλου ,Entry_37,68.085,68.085
Ιωάννινα,Entry_38,50,50
Λιμένας Ηγουμενίτσας,Entry_39,250,250
Κρυσταλλoπηγή (Aλβανία),Entry_40,0,0
Κακαβιά (Aλβανία),Entry_41,0,0